record_id	measurement	target	expected_or_activated_sha256	measured_sha256	result	measurement_class
BE-001	R8_HUMAN_DIRECTIVE_IDENTITY	00_HUMAN/...HUMAN_DIRECTIVE__R8__ISSUED.md	6dda7394d6f48fa641d1e80fd165e702c05752e9ecf23a391cccda4bba05b256	6dda7394d6f48fa641d1e80fd165e702c05752e9ecf23a391cccda4bba05b256	MATCH	MEASURED
BE-002	R8_HUMAN_APPROVAL_IDENTITY	00_HUMAN/...HUMAN_APPROVAL__R8__ISSUED.txt	8c4dc1ae19fead97e0590e2cc9793f91c36b5d425009d3b3fe3049c4058d7518	8c4dc1ae19fead97e0590e2cc9793f91c36b5d425009d3b3fe3049c4058d7518	MATCH	MEASURED
BE-003	R8_CUSTODY_MANIFEST_IDENTITY	00_HUMAN/...R8__HUMAN_ISSUANCE_CUSTODY_MANIFEST.txt	e989a8138c0fbc6f72a8431a964350798dc900c52079e7fbb9fd7796043af5fb	e989a8138c0fbc6f72a8431a964350798dc900c52079e7fbb9fd7796043af5fb	MATCH	MEASURED
BE-004	R8_ISSUANCE_STATE	approval document_status	HUMAN_ISSUED_APPROVAL	HUMAN_ISSUED_APPROVAL / decision=APPROVED_WITH_CONDITIONS / supersedes R7 candidate	ISSUED_NOT_PENDING	MEASURED
BE-005	ACTIVATED_CANONICAL_IDENTITY	CONSTITUTION_LITE.md	2ca7afd7eb51bc226d2a048b35a083be8d010381430c737156b41e5e67fdc784	2ca7afd7eb51bc226d2a048b35a083be8d010381430c737156b41e5e67fdc784	MATCH	MEASURED
BE-006	ACTIVATED_CANONICAL_IDENTITY	OPERATING_PROFILE_LITE.md	621e8851d5b4fe78c37987c6cae7f3038b539b7e22750fc3333fdbbe6d618d2f	621e8851d5b4fe78c37987c6cae7f3038b539b7e22750fc3333fdbbe6d618d2f	MATCH	MEASURED
BE-007	ACTIVATED_CANONICAL_IDENTITY	CONTROLLER_BOOTSTRAP_LITE.md	5085d3cbb754182a3297e85dc41fb8d82821fc5e905b120e40705b26af5062bb	5085d3cbb754182a3297e85dc41fb8d82821fc5e905b120e40705b26af5062bb	MATCH	MEASURED
BE-008	ACTIVATED_CANONICAL_IDENTITY	COMMAND_TEMPLATE.md	5ad9d04b0cd79d2edf884385994f4e1bff5f1d94d1f4caf131e9144c73431091	5ad9d04b0cd79d2edf884385994f4e1bff5f1d94d1f4caf131e9144c73431091	MATCH	MEASURED
BE-009	ACTIVATED_CANONICAL_IDENTITY	HANDOFF_TEMPLATE.md	440ddce68ef104af711e255a854715d5947634d90bef07d91c4eaf2f66227980	440ddce68ef104af711e255a854715d5947634d90bef07d91c4eaf2f66227980	MATCH	MEASURED
BE-010	ACTIVATED_CANONICAL_IDENTITY	PROJECT_CANON_TEMPLATE.md	68c4d9d3fe00736b7df5a664c8c345767d786af99916aac129bab66ec3a467ff	68c4d9d3fe00736b7df5a664c8c345767d786af99916aac129bab66ec3a467ff	MATCH	MEASURED
BE-011	ACTIVATED_CANONICAL_IDENTITY	01_BASIC_LAW_CANDIDATES/C2_BASIC_LAW_SEALED_20260807.md	e644c4ddd2234f8a86fa2da27590efb68106e4cf89e054068ace42d18b31db5a	e644c4ddd2234f8a86fa2da27590efb68106e4cf89e054068ace42d18b31db5a	MATCH	MEASURED
BE-012	ACTIVATED_CANONICAL_IDENTITY	01_BASIC_LAW_CANDIDATES/C3_PROJECT_SPECIFICATION_LAW_SEALED_20260807.md	7f11e6f7a164bb178b3e62275590d283586d7c08828c6bf7f7c2cdbd7e73cfb5	7f11e6f7a164bb178b3e62275590d283586d7c08828c6bf7f7c2cdbd7e73cfb5	MATCH	MEASURED
BE-013	ACTIVATED_CANONICAL_IDENTITY	01_BASIC_LAW_CANDIDATES/C4_ROLE_AND_ACCESS_LAW_SEALED_20260808.md	cb4181f328c3c99e0f5069c68381bd4503de99e389b9a629ff55ddcef8d7a9ef	cb4181f328c3c99e0f5069c68381bd4503de99e389b9a629ff55ddcef8d7a9ef	MATCH	MEASURED
BE-014	C1_LAYER_STRUCTURE_CROSSCHECK	R8 states c1_layer_document_count=6, remaining 4 named	6 documents; CONTROLLER_BOOTSTRAP_LITE,COMMAND_TEMPLATE,HANDOFF_TEMPLATE,PROJECT_CANON_TEMPLATE	6 documents; identical 4 names present	MATCH	MEASURED
BE-015	AUDIT_TARGET_STABILITY	P0C_001_CONSOLIDATED_HUMAN_DECISION_CANDIDATE_R1_20260822.md	2eb3cc51f03bc5296f2630a22317d721807cce290392357607111877d56b7d00	2eb3cc51f03bc5296f2630a22317d721807cce290392357607111877d56b7d00	MATCH	MEASURED
